host_iso8601,host_unix_ns,elapsed_s,rx_interval_ms,record_type,estimated_x_cm,target_x_cm,estimated_vx_cm_s,motor_angle_deg,angle_command_deg,brake_p_offset_deg,terminal_offset_deg,brake_p_active,terminal_push_active,terminal_trim_active,terminal_brake_gate_active,sequence_stage,vision_age_ms,x_changed,x_unchanged_ms,raw_line
2026-09-23T01:02:57.928+08:00,1790096577928420400,0.305325,4.118,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,36,0,271.946,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,36"
2026-09-23T01:02:57.933+08:00,1790096577933421900,0.310326,5.001,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,42,0,276.947,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,42"
2026-09-23T01:02:57.938+08:00,1790096577938393500,0.315298,4.972,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,1,0,281.919,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,1"
2026-09-23T01:02:57.943+08:00,1790096577943402800,0.320307,5.009,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,4,0,286.928,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,4"
2026-09-23T01:02:57.948+08:00,1790096577948675800,0.325580,5.273,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,5,0,292.202,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,5"
2026-09-23T01:02:57.953+08:00,1790096577953394400,0.330299,4.719,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,11,0,296.920,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,11"
2026-09-23T01:02:57.958+08:00,1790096577958530600,0.335421,5.122,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,15,0,302.043,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,15"
2026-09-23T01:02:57.963+08:00,1790096577963375100,0.340280,4.858,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,21,0,306.901,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,21"
2026-09-23T01:02:57.968+08:00,1790096577968364400,0.345269,4.989,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,25,0,311.890,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,25"
2026-09-23T01:02:57.973+08:00,1790096577973346600,0.350251,4.982,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,31,0,316.873,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,31"
2026-09-23T01:02:57.978+08:00,1790096577978464800,0.355354,5.103,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,35,0,321.976,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,35"
2026-09-23T01:02:57.983+08:00,1790096577983344100,0.360249,4.894,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,3,0,326.870,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,3"
2026-09-23T01:02:57.988+08:00,1790096577988313900,0.365218,4.970,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,2,0,331.840,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:57.993+08:00,1790096577993315100,0.370219,5.001,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,5,0,336.841,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,5"
2026-09-23T01:02:57.998+08:00,1790096577998321100,0.375226,5.006,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,9,0,341.847,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,9"
2026-09-23T01:02:58.003+08:00,1790096578003433000,0.380323,5.097,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,15,0,346.944,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,15"
2026-09-23T01:02:58.008+08:00,1790096578008323600,0.385228,4.905,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,19,0,351.850,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,19"
2026-09-23T01:02:58.013+08:00,1790096578013351900,0.390243,5.015,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,25,0,356.865,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,25"
2026-09-23T01:02:58.018+08:00,1790096578018283300,0.395188,4.945,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,29,0,361.810,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,29"
2026-09-23T01:02:58.023+08:00,1790096578023305900,0.400196,5.008,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,35,0,366.818,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,35"
2026-09-23T01:02:58.027+08:00,1790096578027396100,0.404302,4.106,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,39,0,370.923,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,39"
2026-09-23T01:02:58.032+08:00,1790096578032543000,0.409447,5.145,sample,-3.13,0.0,0.0,22.01,22.0,0.0,0.0,0,0,0,0,0,45,0,376.068,"-3.13,0.00,0.00,22.01,22.00,0.00,0.00,0,0,0,0,0,45"
2026-09-23T01:02:58.037+08:00,1790096578037402300,0.414306,4.859,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,2,0,380.928,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:58.042+08:00,1790096578042586800,0.419477,5.171,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,2,0,386.099,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,2"
2026-09-23T01:02:58.047+08:00,1790096578047379300,0.424284,4.807,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,4,0,390.905,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,4"
2026-09-23T01:02:58.052+08:00,1790096578052498400,0.429387,5.103,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,10,0,396.009,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,10"
2026-09-23T01:02:58.057+08:00,1790096578057380600,0.434285,4.898,sample,-3.13,0.0,0.0,21.99,22.0,0.0,0.0,0,0,0,0,0,14,0,400.906,"-3.13,0.00,0.00,21.99,22.00,0.00,0.00,0,0,0,0,0,14"
