t,frame_seq,result_ready_t,capture_to_log_ms,inference_ms,refinement_ms,processing_ms,raw_x_cm,sent_x_cm,raw_vx_cm_s,sent_vx_cm_s,measurement_valid,tracking_valid,sent_valid,confidence,source,reason,actual_angle_deg,center_x_px,center_y_px,radius_px,measurement_x_cm,kalman_x_cm,kalman_vx_cm_s
4009.752493,49,4009.767601,15.1087,5.1120,0.4420,14.9918,-10.7747,-10.7747,0.0000,0.0000,1,1,1,0.3125,yolo_box,ok,12.0000,919.5027,71.5969,21.8975,-10.7747,-10.7747,0.0000
4009.768950,50,4009.782823,13.8730,5.1087,0.4210,13.7554,-10.7654,-10.7654,0.0000,0.0000,1,1,1,0.2566,yolo_box,ok,12.0000,919.1028,71.5785,21.8503,-10.7654,-10.7654,0.0000
4009.784584,51,4009.798207,13.6225,5.1102,0.4194,13.5045,-10.7683,-10.7683,0.0000,0.0000,1,1,1,0.2708,yolo_box,ok,12.0000,919.2259,71.4390,21.8996,-10.7683,-10.7683,0.0000
4009.804485,52,4009.820345,15.8598,5.5358,0.4543,15.6473,-10.7669,-10.7669,0.0000,0.0000,1,1,1,0.4019,yolo_box,ok,12.0000,919.1643,71.0083,21.8257,-10.7669,-10.7669,0.0000
4009.823493,53,4009.837567,14.0747,10.2581,0.0000,13.9713,,-10.7669,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.837271,54,4009.851675,14.4048,5.0814,0.4208,13.8578,-10.7662,-10.7662,0.0000,0.0000,1,1,1,0.3987,yolo_box,ok,12.0000,919.1356,71.8984,22.0800,-10.7662,-10.7662,0.0000
4009.852526,55,4009.860947,8.4216,5.1232,0.0000,8.3214,,-10.7662,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.868377,56,4009.876772,8.3951,5.1309,0.0000,8.2807,,-10.7662,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.884113,57,4009.892684,8.5712,5.2383,0.0000,8.3954,,-10.7662,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.904148,58,4009.912615,8.4676,5.1012,0.0000,8.3097,,-10.7662,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4009.920738,59,4009.934674,13.9360,5.1211,0.4231,13.8088,-10.7553,-10.7553,0.0000,0.0000,1,1,1,0.2787,yolo_box,ok,12.0000,918.6618,71.6154,21.8975,-10.7553,-10.7553,0.0000
4009.936370,60,4009.952481,16.1116,5.1498,0.5547,15.9494,-10.7653,-10.7653,0.0000,0.0000,1,1,1,0.3666,yolo_box,ok,12.0000,919.0946,71.9435,22.1211,-10.7653,-10.7653,0.0000
4009.953770,61,4009.969417,15.6473,5.0976,0.4442,15.5061,-10.7631,-10.7631,0.0000,0.0000,1,1,1,0.2656,yolo_box,ok,12.0000,919.0023,72.0707,22.2256,-10.7631,-10.7631,0.0000
4009.969475,62,4009.983751,14.2763,5.0939,0.4498,14.0251,-10.7590,-10.7590,0.0000,0.0000,1,1,1,0.3620,yolo_box,ok,12.0000,918.8259,72.4809,22.1518,-10.7590,-10.7590,0.0000
4009.984482,63,4009.992926,8.4434,5.0988,0.0000,8.3454,,-10.7590,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.004108,64,4010.012539,8.4314,5.1109,0.0000,8.3260,,-10.7590,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.020593,65,4010.036061,15.4676,5.2076,0.5724,15.2321,-10.7630,-10.7630,0.0000,0.0000,1,1,1,0.3892,yolo_box,ok,12.0000,918.9961,71.6133,22.2277,-10.7630,-10.7630,0.0000
